,state,Education,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Year
50,IA,Highschool,162000.0,9.0,9.0,107000.0,40000.0,15000.0,8036.0,637.0,62560.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
51,IA,Master's Degree,186666.66666666666,9.333333333333334,8.333333333333334,133666.66666666666,40000.0,12333.333333333334,15197.666666666666,651.0,45595.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,2020.3333333333333
52,ID,Bachelor's Degree,183857.14285714287,9.428571428571429,5.571428571428571,135428.57142857142,26000.0,21714.285714285714,8132.0,757.0,67584.85714285714,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.857142857143
53,ID,Master's Degree,123500.0,9.125,2.625,100750.0,9000.0,13500.0,8134.375,772.5,74666.75,1.0,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.0,0.0,2021.0
54,ID,PhD,212000.0,9.0,5.0,142000.0,40000.0,30000.0,8132.0,757.0,52258.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020.0
55,IL,Bachelor's Degree,152416.66666666666,5.5436507936507935,2.3412698412698414,117861.11111111111,14369.047619047618,20289.68253968254,8469.57142857143,598.7539682539683,59002.23809523809,0.0,1.0,0.0,0.0,0.0,0.28174603174603174,0.44047619047619047,0.027777777777777776,0.03968253968253968,0.05555555555555555,2020.6507936507937
56,IL,Highschool,171800.0,7.9,1.1,113400.0,29500.0,29400.0,10108.1,488.9,60648.1,0.0,0.0,0.0,1.0,0.0,0.1,0.3,0.1,0.1,0.3,2020.6
57,IL,Master's Degree,169055.55555555556,7.12962962962963,2.513888888888889,129023.14814814815,18287.037037037036,21810.185185185186,8264.62037037037,529.6944444444445,50000.03703703704,1.0,0.0,0.004629629629629629,0.0,0.0,0.35648148148148145,0.19444444444444445,0.018518518518518517,0.032407407407407406,0.009259259259259259,2020.412037037037
58,IL,PhD,190125.0,6.125,2.25,151937.5,22250.0,16312.5,10082.125,419.3125,52946.75,0.0,0.0,1.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0625,2020.5
59,IL,Some College,101500.0,6.5,2.5,95000.0,0.0,6500.0,8188.0,638.5,51753.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,2020.5
60,IN,Bachelor's Degree,150678.57142857142,7.214285714285714,2.607142857142857,118071.42857142857,19785.714285714286,12750.0,8973.464285714286,537.2857142857143,64066.28571428572,0.0,1.0,0.0,0.0,0.0,0.25,0.6428571428571429,0.0,0.03571428571428571,0.07142857142857142,2020.8214285714287
61,IN,Master's Degree,108370.37037037036,5.777777777777778,3.6666666666666665,94407.4074074074,5814.814814814815,8370.37037037037,12788.111111111111,552.1481481481482,55999.37037037037,1.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.14814814814814814,0.0,0.0,0.0,2020.5555555555557
62,IN,Some College,102000.0,5.0,5.0,87000.0,0.0,15000.0,8399.0,527.0,63765.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0
63,KS,Bachelor's Degree,105411.76470588235,6.588235294117647,5.470588235294118,97058.82352941176,3647.0588235294117,4764.705882352941,11623.764705882353,630.5882352941177,57412.76470588235,0.0,1.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.058823529411764705,0.0,0.0,2020.7058823529412
64,KS,Master's Degree,116727.27272727272,9.636363636363637,5.681818181818182,104545.45454545454,11000.0,2181.818181818182,15654.636363636364,616.0,48823.09090909091,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,0.0,0.0,0.0,2020.2727272727273
65,KS,PhD,120000.0,6.0,1.0,120000.0,0.0,0.0,8585.0,678.0,53031.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0
